ID,Condition,Repetition,Color,HEX,Delaytime(ms),Pressed Key,Correct?,Timestamp(Teststart),Timestamp(Color),Timestamp(Keystroke)
567587,easy,0,Hautfarbe, #F6D8CE,600,,,1620145247.1087434,1620145247.1106954,
567587,easy,1,Weiß, #FFFFFF,1600,,,1620145247.1087434,1620145247.7110193,
567587,easy,2,Violett, #610B4B,2800,,,1620145247.1087434,1620145249.3111565,
567587,easy,3,Blau, #0000FF,2800,,,1620145247.1087434,1620145252.1173418,
567587,easy,4,Grün, #01DF01,9000,,,1620145247.1087434,1620145254.930787,
567587,easy,5,Rot, #FF0000,7300,,,1620145247.1087434,1620145263.9309754,
567587,easy,6,Schwarz, #000000,7300,,,1620145247.1087434,1620145271.2444468,
567587,easy,7,Türkis, #2EFEF7,6100,,,1620145247.1087434,1620145278.555007,
567587,easy,8,Orange, #FF8000,900,,,1620145247.1087434,1620145284.6702137,
567587,easy,9,Pink, #FF00FF,2900,,,1620145247.1087434,1620145285.569637,
567587,hard,0,Pink, #FFFFFF,1800,,,1620145291.4935346,1620145291.494513,
567587,hard,1,Blau, #2EFEF7,9500,G,False,1620145291.4935346,1620145293.294785,1620145302.7755356
567587,hard,2,Hautfarbe, #FF0000,8800,G,False,1620145291.4935346,1620145302.7901738,1620145303.1209435
567587,hard,3,Grün, #610B4B,9500,,,1620145291.4935346,1620145311.601355,
567587,hard,4,Türkis, #F6D8CE,6000,,,1620145291.4935346,1620145321.1024392,
567587,hard,5,Violett, #000000,1700,,,1620145291.4935346,1620145327.1017585,
567587,hard,6,Weiß, #FF00FF,3400,,,1620145291.4935346,1620145328.802266,
567587,hard,7,Rot, #0000FF,5500,,,1620145291.4935346,1620145332.1973302,
567587,hard,8,Schwarz, #FF8000,5900,,,1620145291.4935346,1620145337.7065809,
567587,hard,9,Orange, #01DF01,8900,,,1620145291.4935346,1620145343.60211,
1,easy,0,Blau, #0000FF,9400,B,True,1620153618.930153,1620153618.9379864,1620153620.3109932
1,easy,1,Pink, #FF00FF,3900,P,True,1620153618.930153,1620153628.3372474,1620153629.8369718
1,easy,2,Weiß, #FFFFFF,8400,W,True,1620153618.930153,1620153632.2506368,1620153634.1495764
1,easy,3,Türkis, #2EFEF7,3800,T,True,1620153618.930153,1620153640.6541696,1620153642.4532228
1,easy,4,Rot, #FF0000,2200,,,1620153618.930153,1620153644.461466,
1,easy,5,Hautfarbe, #F6D8CE,1800,R,False,1620153618.930153,1620153646.665695,1620153647.1494908
1,easy,6,Grün, #01DF01,5800,G,True,1620153618.930153,1620153648.4649982,1620153649.6853063
1,easy,7,Orange, #FF8000,5100,O,True,1620153618.930153,1620153654.2748463,1620153655.4609756
1,easy,8,Schwarz, #000000,2400,S,True,1620153618.930153,1620153659.3840618,1620153660.429262
1,easy,9,Violett, #610B4B,6200,V,True,1620153618.930153,1620153661.792519,1620153662.933199
1,hard,0,Hautfarbe, #000000,8200,H,True,1620153671.030376,1620153671.0313494,1620153672.2136989
1,hard,1,Schwarz, #FF8000,700,,,1620153671.030376,1620153679.2267754,
1,hard,2,Violett, #F6D8CE,8600,S,False,1620153671.030376,1620153679.9266028,1620153680.62177
1,hard,3,Rot, #0000FF,1800,R,True,1620153671.030376,1620153688.5295727,1620153690.2139914
1,hard,4,Pink, #FF0000,2000,,,1620153671.030376,1620153690.330927,
1,hard,5,Weiß, #FFFFFF,1800,P,False,1620153671.030376,1620153692.322446,1620153692.854108
1,hard,6,Türkis, #2EFEF7,5600,T,True,1620153671.030376,1620153694.1239378,1620153695.2850933
1,hard,7,Blau, #FF00FF,3900,B,True,1620153671.030376,1620153699.732025,1620153701.3017402
1,hard,8,Grün, #01DF01,8900,G,True,1620153671.030376,1620153703.6352818,1620153704.7254486
1,hard,9,Orange, #610B4B,6700,O,True,1620153671.030376,1620153712.5402524,1620153713.7332315
3,easy,0,Türkis, #2EFEF7,9700,T,True,1620153856.584916,1620153856.586763,1620153858.501698
3,easy,1,Rot, #FF0000,600,,,1620153856.584916,1620153866.2926471,
3,easy,2,Hautfarbe, #F6D8CE,6600,R,False,1620153856.584916,1620153866.8927402,1620153868.045683
3,easy,3,Grün, #01DF01,2800,G,True,1620153856.584916,1620153873.4975884,1620153874.7089531
3,easy,4,Blau, #0000FF,5400,B,True,1620153856.584916,1620153876.3062148,1620153877.621614
3,easy,5,Weiß, #FFFFFF,900,,,1620153856.584916,1620153881.7108984,
3,easy,6,Schwarz, #000000,1900,S,True,1620153856.584916,1620153882.61128,1620153883.8860204
3,easy,7,Pink, #FF00FF,7400,P,True,1620153856.584916,1620153884.511402,1620153885.6368437
3,easy,8,Orange, #FF8000,7700,O,True,1620153856.584916,1620153891.915332,1620153893.5184996
3,easy,9,Violett, #610B4B,7400,V,True,1620153856.584916,1620153899.6268137,1620153900.8073118
3,hard,0,Blau, #FF0000,8100,B,True,1620153910.0414505,1620153910.0424116,1620153916.1017494
3,hard,1,Pink, #0000FF,9600,P,True,1620153910.0414505,1620153918.1538577,1620153921.8865795
3,hard,2,Hautfarbe, #FF00FF,3800,H,True,1620153910.0414505,1620153927.758581,1620153930.0770268
3,hard,3,Schwarz, #000000,7200,S,True,1620153910.0414505,1620153931.5713768,1620153935.3897483
3,hard,4,Türkis, #F6D8CE,1500,,,1620153910.0414505,1620153938.7814825,
3,hard,5,Violett, #FF8000,6500,T,False,1620153910.0414505,1620153940.281751,1620153940.9336596
3,hard,6,Grün, #FFFFFF,8400,G,True,1620153910.0414505,1620153946.773458,1620153948.7818763
3,hard,7,Rot, #01DF01,1400,R,True,1620153910.0414505,1620153955.1808448,1620153956.3659954
3,hard,8,Orange, #610B4B,5700,O,True,1620153910.0414505,1620153956.581781,1620153957.6064396
3,hard,9,Weiß, #2EFEF7,9300,W,True,1620153910.0414505,1620153962.276543,1620153964.7651932
5,easy,0,Blau, #0000FF,5400,B,True,1620154005.7579496,1620154005.7598572,1620154007.1898708
5,easy,1,Grün, #01DF01,6000,G,True,1620154005.7579496,1620154011.1678813,1620154012.8227718
5,easy,2,Weiß, #FFFFFF,5100,W,True,1620154005.7579496,1620154017.1644497,1620154018.828859
5,easy,3,Schwarz, #000000,6200,S,True,1620154005.7579496,1620154022.2769327,1620154024.134159
5,easy,4,Türkis, #2EFEF7,6100,T,True,1620154005.7579496,1620154028.4765787,1620154029.8856616
5,easy,5,Violett, #610B4B,1100,T,False,1620154005.7579496,1620154034.586851,1620154034.7017076
5,easy,6,Orange, #FF8000,800,V,False,1620154005.7579496,1620154035.6859777,1620154036.0617468
5,easy,7,Rot, #FF0000,5200,O,False,1620154005.7579496,1620154036.4869144,1620154037.3498182
5,easy,8,Pink, #FF00FF,3400,P,True,1620154005.7579496,1620154041.6808453,1620154043.085932
5,easy,9,Hautfarbe, #F6D8CE,8300,H,True,1620154005.7579496,1620154045.0869374,1620154046.97349
5,hard,0,Schwarz, #FF0000,1200,,,1620154056.4140637,1620154056.4149785,
5,hard,1,Violett, #2EFEF7,9000,S,False,1620154056.4140637,1620154057.615727,1620154057.725991
5,hard,2,Grün, #FF8000,7100,G,True,1620154056.4140637,1620154066.6056292,1620154067.98135
5,hard,3,Türkis, #F6D8CE,7800,T,True,1620154056.4140637,1620154073.7123356,1620154075.4697163
5,hard,4,Orange, #610B4B,8200,O,True,1620154056.4140637,1620154081.5236478,1620154082.9742773
5,hard,5,Rot, #000000,8100,R,True,1620154056.4140637,1620154089.7308793,1620154092.7091548
5,hard,6,Pink, #0000FF,7500,P,True,1620154056.4140637,1620154097.836006,1620154099.4299042
5,hard,7,Weiß, #01DF01,7100,W,True,1620154056.4140637,1620154105.3377852,1620154106.9899497
5,hard,8,Hautfarbe, #FFFFFF,9200,H,True,1620154056.4140637,1620154112.4462185,1620154115.061431
5,hard,9,Blau, #FF00FF,9200,B,True,1620154056.4140637,1620154121.658712,1620154122.7582784
7,easy,0,Weiß, #FFFFFF,9800,W,True,1620154154.4310186,1620154154.4319675,1620154155.8629415
7,easy,1,Pink, #FF00FF,7800,P,True,1620154154.4310186,1620154164.2419195,1620154165.341334
7,easy,2,Schwarz, #000000,5700,S,True,1620154154.4310186,1620154172.0571053,1620154173.0058932
7,easy,3,Orange, #FF8000,9800,O,True,1620154154.4310186,1620154177.760278,1620154179.0378013
7,easy,4,Rot, #FF0000,6400,R,True,1620154154.4310186,1620154187.5709145,1620154188.6699424
7,easy,5,Blau, #0000FF,4000,R,False,1620154154.4310186,1620154193.9774015,1620154194.189971
7,easy,6,Violett, #610B4B,1300,,,1620154154.4310186,1620154197.9809542,
7,easy,7,Grün, #01DF01,3800,G,True,1620154154.4310186,1620154199.2810023,1620154202.4775517
7,easy,8,Türkis, #2EFEF7,5200,T,True,1620154154.4310186,1620154203.086836,1620154204.5577867
7,easy,9,Hautfarbe, #F6D8CE,6700,H,True,1620154154.4310186,1620154208.288791,1620154210.2777894
7,hard,0,Pink, #FF00FF,4900,P,True,1620154218.0071013,1620154218.0090303,1620154219.821935
7,hard,1,Türkis, #FF8000,3000,T,True,1620154218.0071013,1620154222.9185867,1620154224.061525
7,hard,2,Blau, #2EFEF7,7000,B,True,1620154218.0071013,1620154225.918546,1620154226.8944466
7,hard,3,Grün, #610B4B,3100,G,True,1620154218.0071013,1620154232.9180508,1620154234.3658822
7,hard,4,Orange, #FFFFFF,7200,O,True,1620154218.0071013,1620154236.0290856,1620154242.7339728
7,hard,5,Weiß, #0000FF,5000,,,1620154218.0071013,1620154243.2301755,
7,hard,6,Schwarz, #01DF01,9400,W,False,1620154218.0071013,1620154248.2309997,1620154248.557094
7,hard,7,Violett, #F6D8CE,7300,V,True,1620154218.0071013,1620154257.632962,1620154259.3020487
7,hard,8,Hautfarbe, #000000,4900,H,True,1620154218.0071013,1620154264.948093,1620154266.3098052
7,hard,9,Rot, #FF0000,1100,,,1620154218.0071013,1620154269.8561316,
11,easy,0,Türkis, #2EFEF7,4900,T,True,1620154288.5080187,1620154288.5089946,1620154289.96762
11,easy,1,Hautfarbe, #F6D8CE,500,,,1620154288.5080187,1620154293.418551,
11,easy,2,Weiß, #FFFFFF,3500,H,False,1620154288.5080187,1620154293.9195926,1620154294.542909
11,easy,3,Blau, #0000FF,6500,B,True,1620154288.5080187,1620154297.4161704,1620154298.741789
11,easy,4,Violett, #610B4B,4500,V,True,1620154288.5080187,1620154303.9151547,1620154305.5732996
11,easy,5,Grün, #01DF01,2500,G,True,1620154288.5080187,1620154308.416428,1620154310.678193
11,easy,6,Orange, #FF8000,5700,O,True,1620154288.5080187,1620154310.914588,1620154311.8235097
11,easy,7,Rot, #FF0000,5000,R,True,1620154288.5080187,1620154316.6203723,1620154317.9020405
11,easy,8,Schwarz, #000000,8600,S,True,1620154288.5080187,1620154321.6269183,1620154322.3749807
11,easy,9,Pink, #FF00FF,6800,P,True,1620154288.5080187,1620154330.2320538,1620154331.7259383
11,hard,0,Schwarz, #F6D8CE,6200,S,True,1620154340.0544288,1620154340.0551803,1620154341.2138982
11,hard,1,Grün, #FF00FF,4700,G,True,1620154340.0544288,1620154346.2588398,1620154347.8139129
11,hard,2,Blau, #0000FF,8400,B,True,1620154340.0544288,1620154350.9609404,1620154351.989492
11,hard,3,Rot, #FF0000,9500,R,True,1620154340.0544288,1620154359.370376,1620154360.902033
11,hard,4,Violett, #FF8000,8300,V,True,1620154340.0544288,1620154368.8669894,1620154370.3026268
11,hard,5,Weiß, #01DF01,1500,,,1620154340.0544288,1620154377.1806383,
11,hard,6,Hautfarbe, #000000,1400,W,False,1620154340.0544288,1620154378.68068,1620154379.2379951
11,hard,7,Pink, #2EFEF7,7100,P,True,1620154340.0544288,1620154380.080682,1620154381.3019335
11,hard,8,Orange, #610B4B,8800,O,True,1620154340.0544288,1620154387.180934,1620154388.3182142
11,hard,9,Türkis, #FFFFFF,2000,,,1620154340.0544288,1620154395.992046,
13,easy,0,Hautfarbe, #F6D8CE,900,,,1620154421.6331103,1620154421.6341023,
13,easy,1,Violett, #610B4B,600,H,False,1620154421.6331103,1620154422.5335824,1620154422.582338
13,easy,2,Orange, #FF8000,4400,V,False,1620154421.6331103,1620154423.1348102,1620154423.6381695
13,easy,3,Türkis, #2EFEF7,1100,,,1620154421.6331103,1620154427.5391762,
13,easy,4,Blau, #0000FF,7700,T,False,1620154421.6331103,1620154428.638731,1620154428.9581985
13,easy,5,Rot, #FF0000,6600,R,True,1620154421.6331103,1620154436.336288,1620154438.1021168
13,easy,6,Weiß, #FFFFFF,4300,W,True,1620154421.6331103,1620154442.9478667,1620154444.5498183
13,easy,7,Pink, #FF00FF,4200,P,True,1620154421.6331103,1620154447.25888,1620154450.4457536
13,easy,8,Schwarz, #000000,8000,S,True,1620154421.6331103,1620154451.4627094,1620154453.0775945
13,easy,9,Grün, #01DF01,8500,G,True,1620154421.6331103,1620154459.4630024,1620154461.1354976
13,hard,0,Violett, #FF0000,9400,V,True,1620154470.9762886,1620154470.9772604,1620154472.8460429
13,hard,1,Grün, #2EFEF7,9700,G,True,1620154470.9762886,1620154480.3851156,1620154482.3182483
13,hard,2,Orange, #01DF01,1900,O,True,1620154470.9762886,1620154490.086311,1620154491.9580913
13,hard,3,Blau, #610B4B,6700,B,True,1620154470.9762886,1620154491.9862669,1620154492.8701982
13,hard,4,Hautfarbe, #0000FF,9500,H,True,1620154470.9762886,1620154498.6810284,1620154500.9105563
13,hard,5,Schwarz, #FF8000,5100,S,True,1620154470.9762886,1620154508.1812375,1620154509.8541145
13,hard,6,Pink, #FFFFFF,8900,P,True,1620154470.9762886,1620154513.2921534,1620154514.9018939
13,hard,7,Türkis, #F6D8CE,5200,T,True,1620154470.9762886,1620154522.1950855,1620154523.7502031
13,hard,8,Weiß, #000000,600,,,1620154470.9762886,1620154527.4092572,
13,hard,9,Rot, #FF00FF,7300,W,False,1620154470.9762886,1620154528.0092819,1620154528.6221893
